Unnamed: 0,Baseline,2Fl 1Pr 1.6Flz,2Fl 1Pr 2Flz,2Fl 1Pr 4Flz,2Fl 1Pr 10Flz,5Fl 1Pr 1Flz,5Fl 1Pr 1.6Flz,5Fl 1Pr 2Flz,5Fl 1Pr 4Flz,5Fl 1Pr 10Flz
Trip Est Ride Hail,80920.0,92809.0,101262.0,126640.0,163043.0,87611.0,97123.0,105333.0,130500.0,163412.0
Trip Est Ride Hail Pooled,67120.0,79843.0,83831.0,90596.0,86484.0,60781.0,73684.0,78571.0,84720.0,84548.0
Trip Mode Ride Hail,153439.0,191742.0,205572.0,251682.0,292348.0,155988.0,191760.0,208125.0,255821.0,292152.0
Trip Mode Ride Hail Pooled,35111.0,46953.0,52009.0,66861.0,74034.0,32138.0,43948.0,49167.0,62862.0,72493.0
Trip Replan Ride Hail,58959.0,50853.0,45199.0,26384.0,9357.0,66287.0,59074.0,53984.0,31494.0,11859.0
Trip Replan Ride Hail Pooled,20071.0,22328.0,22159.0,17645.0,9348.0,18141.0,20216.0,20706.0,16500.0,9089.0
Trip Exec Ride Hail,94480.0,140889.0,160373.0,225298.0,282991.0,89701.0,132686.0,154141.0,224327.0,280293.0
Trip Exec Ride Hail Pooled,15040.0,24625.0,29850.0,49216.0,64686.0,13997.0,23732.0,28461.0,46362.0,63404.0
AV Waiting Time RH,428.589984,415.1614,404.912239,393.22322,347.649757,425.142963,414.644894,408.351876,378.275146,360.096704
AV Waiting Time RH Pooled,466.718418,463.51135,464.046668,479.99301,456.310938,442.177395,441.525704,440.708784,434.919762,441.517207
AV Waiting Time RH Single,422.520428,406.710652,393.906,374.268493,322.8124,422.4849,409.837036,402.377622,366.568318,341.678886
Pooled Replan Rate,0.2990315852205006,0.2796488107911777,0.2643294246758359,0.19476577332332554,0.10808935756903011,0.298464980832826,0.274360783887954,0.263532346540072,0.19475920679886685,0.10750106448408005
Pooled Exec Rate,0.22407628128724671,0.3084177698733765,0.3560735288854958,0.5432469424698663,0.7479533786596365,0.2302857800957536,0.3220780630801802,0.36223288490664496,0.5472379603399433,0.7499172067937739
Solo Replan Rate,2.8179710144927537,2.1999845750424187,1.321783030233492,0.24245366773942958,0.00011755639441476509,1.7944837868058143,1.657835231878493,1.2434795605709588,0.3275229357798165,0.03512375735443295
Solo Exec Rate,5.756521739130434,8.966836341200061,7.487981182949917,4.885195871712352,2.8514609647461433,2.821617592247484,4.648406501983873,4.696211045512293,3.88739624290083,2.7501648407384867
