column_name,data_type,non_null_count,null_count,null_percentage,unique_values_count,sample_values
Unnamed: 0,object,4727,0,0.0,4727,"['Simulated Agents ', 'Trips per Agent AV ', 'Trip Vehicle Total ']"
Baseline,float64,4194,533,11.28,2799,"[1937432.0, 3.837653657, 17844548.0]"
1Fl 1Pr 1Flz,float64,4194,533,11.28,2801,"[1937360.0, 3.839640542, 17848430.0]"
5Fl 1Pr 1Flz,float64,4194,533,11.28,2798,"[1937424.0, 3.839001685, 17855388.0]"
5Fl 1Pr 1.6Flz,float64,4194,533,11.28,2800,"[1937388.0, 3.839239223, 17846876.0]"
5Fl 1Pr 2Flz,float64,4194,533,11.28,2801,"[1937426.0, 3.839439545, 17830954.0]"
5Fl 1Pr 4Flz,float64,4194,533,11.28,2795,"[1937273.0, 3.842127568, 17807999.0]"
5Fl 1Pr 10Flz,float64,4194,533,11.28,2807,"[1937346.0, 3.842776148, 17819919.0]"
2Fl 1Pr 1.6Flz,float64,4194,533,11.28,2803,"[1937567.0, 3.839956502, 17832089.0]"
2Fl 1Pr 2Flz,float64,4194,533,11.28,2787,"[1937443.0, 3.838790096, 17815656.0]"
2Fl 1Pr 4Flz,float64,4194,533,11.28,2799,"[1937386.0, 3.842638483, 17800479.0]"
2Fl 1Pr 10Flz,float64,4194,533,11.28,2795,"[1937321.0, 3.843041499, 17806091.0]"
2Fl .47Pr 1Flz,float64,4194,533,11.28,2791,"[1937519.0, 3.838391262, 17847946.0]"
5Fl .47Pr 1Flz,float64,4194,533,11.28,2796,"[1937585.0, 3.836876834, 17840230.0]"
5Fl .47Pr 1.6Flz,float64,4194,533,11.28,2795,"[1937609.0, 3.838736814, 17832076.0]"
5Fl .47Pr 2Flz,float64,4194,533,11.28,2794,"[1937677.0, 3.840045064, 17827798.0]"
5Fl .47Pr 4Flz,float64,4194,533,11.28,2785,"[1937636.0, 3.84109967, 17775815.0]"
5Fl .47Pr 10Flz,float64,4194,533,11.28,2789,"[1937315.0, 3.844097114, 17717993.0]"
2Fl .27Pr 1Flz,float64,4194,533,11.28,2797,"[1937733.0, 3.838556705, 17843566.0]"
5Fl .27Pr 1Flz,float64,4194,533,11.28,2804,"[1937687.0, 3.83741595, 17846212.0]"
5Fl .27Pr 1.6Flz,float64,4194,533,11.28,2783,"[1937917.0, 3.838779989, 17850615.0]"
5Fl .27Pr 2Flz,float64,4194,533,11.28,2802,"[1937980.0, 3.838410097, 17822073.0]"
5Fl .27Pr 4Flz,float64,4194,533,11.28,2790,"[1937813.0, 3.839492252, 17749441.0]"
5Fl .27Pr 10Flz,float64,4194,533,11.28,2793,"[1937526.0, 3.844539377, 17659135.0]"
2Fl .125Pr 1Flz,float64,4199,528,11.17,2803,"[1938015.0, 3.836920251, 17865177.0]"
5Fl .125Pr 1Flz,float64,4199,528,11.17,2807,"[1938077.0, 3.838608064, 17879651.0]"
5Fl .125Pr 1.6Flz,float64,4194,533,11.28,2799,"[1938343.0, 3.838596162, 17868356.0]"
5Fl .125Pr 2Flz,float64,4194,533,11.28,2795,"[1938466.0, 3.836731209, 17849561.0]"
5Fl .125Pr 4Flz,float64,4194,533,11.28,2796,"[1938263.0, 3.838302645, 17770299.0]"
5Fl .125Pr 10Flz,float64,4194,533,11.28,2798,"[1937714.0, 3.844017745, 17616836.0]"
2Fl .0625Pr 1Flz,float64,4199,528,11.17,2793,"[1938580.0, 3.837228796, 17871768.0]"
5Fl .0625Pr 1Flz,float64,4199,528,11.17,2804,"[1938354.0, 3.838053317, 17887825.0]"
5Fl .0625Pr 1.6Flz,float64,4199,528,11.17,2806,"[1938700.0, 3.835539279, 17886185.0]"
5Fl .0625Pr 2Flz,float64,4199,528,11.17,2804,"[1938794.0, 3.835025794, 17879393.0]"
5Fl .0625Pr 4Flz,float64,4194,533,11.28,2806,"[1939013.0, 3.837781902, 17804673.0]"
5Fl .0625Pr 10Flz,float64,4194,533,11.28,2801,"[1938132.0, 3.842830622, 17603198.0]"
1Fl MixPr 1Flz,float64,4199,528,11.17,2799,"[1938424.0, 3.838710726, 17864700.0]"
2Fl MixPr 1Flz,float64,4199,528,11.17,2796,"[1938357.0, 3.837847724, 17873488.0]"
5Fl MixPr 1Flz,float64,4199,528,11.17,2795,"[1938354.0, 3.836121782, 17859926.0]"
5Fl MixPr 1.6Flz,float64,4199,528,11.17,2795,"[1938734.0, 3.838362045, 17876933.0]"
5Fl MixPr 2Flz,float64,4199,528,11.17,2798,"[1938967.0, 3.838074088, 17858309.0]"
5Fl MixPr 4Flz,float64,4194,533,11.28,2812,"[1939035.0, 3.836900314, 17775858.0]"
5Fl MixPr 10Flz,float64,4194,533,11.28,2794,"[1938568.0, 3.842068475, 17637456.0]"
code,int64,4727,0,0.0,4727,"[0, 1, 2]"
