Unnamed: 0,5Fl 1Pr 1Flz,5Fl 1Pr 2Flz,5Fl 1Pr 4Flz,5Fl .47Pr 1Flz,5Fl .47Pr 2Flz,5Fl .47Pr 4Flz,5Fl .27Pr 1Flz,5Fl .27Pr 2Flz,5Fl .27Pr 4Flz,5Fl .125Pr 1Flz,5Fl .125Pr 2Flz,5Fl .125Pr 4Flz,5Fl .0625Pr 1Flz,5Fl .0625Pr 2Flz,5Fl .0625Pr 4Flz
Trip Est Ride Hail,87611.0,105333.0,130500.0,147339.0,168954.0,212784.0,210244.0,235410.0,290678.0,313639.0,340320.0,394145.0,395467.0,416615.0,469181.0
Trip Est Ride Hail Pooled,60781.0,78571.0,84720.0,85765.0,120404.0,143196.0,95866.0,131809.0,171395.0,91871.0,127166.0,179547.0,93434.0,137188.0,198510.0
Trip Mode Ride Hail,155988.0,208125.0,255821.0,188169.0,256357.0,332945.0,216240.0,297152.0,403991.0,262274.0,351116.0,480109.0,290997.0,387629.0,528212.0
Trip Mode Ride Hail Pooled,32138.0,49167.0,62862.0,42105.0,66719.0,95880.0,43817.0,70078.0,104563.0,37990.0,62612.0,100176.0,38722.0,64761.0,104748.0
Trip Replan Ride Hail,66287.0,53984.0,31494.0,95161.0,84199.0,55555.0,121907.0,115536.0,84814.0,166084.0,163591.0,131375.0,195742.0,201025.0,173504.0
Trip Replan Ride Hail Pooled,18141.0,20706.0,16500.0,26935.0,34864.0,34188.0,30472.0,41799.0,47210.0,28565.0,41495.0,54521.0,30089.0,45354.0,62381.0
Trip Exec Ride Hail,89701.0,154141.0,224327.0,93008.0,172158.0,277390.0,94333.0,181616.0,319177.0,96190.0,187525.0,348734.0,95255.0,186604.0,354708.0
Trip Exec Ride Hail Pooled,13997.0,28461.0,46362.0,15170.0,31855.0,61692.0,13345.0,28279.0,57353.0,9425.0,21117.0,45655.0,8633.0,19407.0,42367.0
AV Waiting Time RH,425.142963,408.351876,378.275146,427.737516,421.573336,399.533567,437.151481,426.673975,407.135864,437.291034,430.185457,423.384666,437.993791,432.373757,423.088636
AV Waiting Time RH Pooled,442.177395,440.708784,434.919762,449.243573,456.716622,462.177744,458.36271,463.778139,464.902987,456.188263,458.731767,478.913306,450.052479,464.109548,473.068402
AV Waiting Time RH Single,422.4849,402.377622,366.568318,424.229787,415.07065,385.601849,434.151018,420.896573,396.755675,435.439817,426.971038,416.115056,436.901034,429.073203,417.118957
